"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","55.80","56.03","56.15","55.76","2.23M","-0.61%"
"12/30/2025","56.14","56.05","56.23","56.01","1.56M","-0.14%"
"12/29/2025","56.22","56.17","56.24","56.08","1.95M","0.30%"
"12/26/2025","56.05","56.20","56.25","55.94","1.56M","-0.18%"
"12/24/2025","56.15","56.01","56.19","55.96","1.20M","0.52%"
"12/23/2025","55.86","55.61","55.90","55.58","1.99M","0.13%"
"12/22/2025","55.79","55.82","55.84","55.73","1.79M","-0.11%"
"12/19/2025","55.85","55.93","56.02","55.82","2.00M","-0.39%"
"12/18/2025","56.07","56.03","56.17","55.99","1.99M","0.04%"
"12/17/2025","56.05","55.94","56.16","55.92","1.59M","-0.09%"
"12/16/2025","56.10","55.68","56.12","55.67","2.37M","0.50%"
"12/15/2025","55.82","55.97","56.07","55.80","2.03M","0.11%"
"12/12/2025","55.76","55.76","55.84","55.67","2.27M","-0.85%"
"12/11/2025","56.24","56.52","56.60","56.22","1.62M","-0.07%"
"12/10/2025","56.28","56.07","56.38","56.00","2.81M","0.39%"
"12/09/2025","56.06","56.29","56.30","56.01","2.06M","0.05%"
"12/08/2025","56.03","56.22","56.23","55.85","1.82M","-0.34%"
"12/05/2025","56.22","56.43","56.45","56.15","1.66M","-0.43%"
"12/04/2025","56.46","56.64","56.66","56.41","1.48M","-0.49%"
"12/03/2025","56.74","56.66","56.79","56.56","1.52M","0.25%"
"12/02/2025","56.60","56.44","56.65","56.38","1.82M","0.09%"
"12/01/2025","56.55","56.62","56.69","56.52","3.20M","-1.48%"
"11/28/2025","57.40","57.59","57.60","57.27","2.02M","-0.45%"
"11/26/2025","57.66","57.40","57.66","57.22","1.63M","0.35%"
"11/25/2025","57.46","57.47","57.64","57.39","2.25M","0.33%"
"11/24/2025","57.27","57.25","57.33","57.17","1.79M","0.49%"
"11/21/2025","56.99","57.10","57.12","56.84","2.33M","0.25%"
"11/20/2025","56.85","56.70","56.94","56.69","1.57M","0.35%"
"11/19/2025","56.65","56.82","56.87","56.61","2.21M","-0.11%"
"11/18/2025","56.71","56.89","56.95","56.58","2.39M","-0.07%"
"11/17/2025","56.75","56.72","56.85","56.65","1.61M","0.27%"
"11/14/2025","56.60","57.12","57.15","56.59","2.00M","-0.51%"
"11/13/2025","56.89","57.10","57.19","56.88","2.31M","-0.70%"
"11/12/2025","57.29","57.20","57.41","57.17","1.67M","0.17%"
"11/11/2025","57.19","57.17","57.25","57.09","1.16M","0.44%"
"11/10/2025","56.94","56.92","57.03","56.87","1.41M","-0.05%"
"11/07/2025","56.97","56.84","57.15","56.84","1.59M","-0.19%"
"11/06/2025","57.08","56.95","57.13","56.94","1.21M","0.88%"
"11/05/2025","56.58","56.92","56.94","56.55","1.63M","-1.03%"
"11/04/2025","57.17","57.07","57.23","57.06","1.65M","0.21%"
"11/03/2025","57.05","57.02","57.10","56.87","2.62M","-0.59%"
"10/31/2025","57.39","57.52","57.56","57.33","2.49M","-0.24%"
"10/30/2025","57.53","57.39","57.72","57.38","2.05M","-0.47%"
"10/29/2025","57.80","58.26","58.27","57.76","5.10M","-0.93%"
"10/28/2025","58.34","58.25","58.43","58.23","1.49M","0.21%"
"10/27/2025","58.22","57.95","58.22","57.82","1.58M","0.31%"
"10/24/2025","58.04","58.11","58.12","57.87","1.45M","0.02%"
"10/23/2025","58.03","58.12","58.21","57.94","1.35M","-0.60%"
"10/22/2025","58.38","58.33","58.44","58.24","1.32M","0.07%"
"10/21/2025","58.34","58.34","58.44","58.29","1.23M","0.45%"
"10/20/2025","58.08","58.02","58.09","57.94","987.53K","0.38%"
"10/17/2025","57.86","57.92","57.93","57.71","1.78M","-0.22%"
"10/16/2025","57.99","57.50","58.06","57.47","1.67M","0.73%"
"10/15/2025","57.57","57.75","57.95","57.47","2.10M","-0.23%"
"10/14/2025","57.70","57.58","57.73","57.46","1.96M","0.35%"
"10/13/2025","57.50","57.35","57.52","57.11","1.32M","-0.05%"
"10/10/2025","57.53","57.21","57.61","57.15","1.77M","1.41%"
"10/09/2025","56.73","56.73","56.80","56.63","1.04M","-0.09%"
"10/08/2025","56.78","56.99","57.00","56.71","1.49M","0.07%"
"10/07/2025","56.74","56.61","56.87","56.54","1.32M","0.53%"
"10/06/2025","56.44","56.47","56.73","56.43","1.76M","-0.67%"
"10/03/2025","56.82","57.00","57.05","56.79","1.75M","-0.23%"
"10/02/2025","56.95","56.82","57.04","56.75","1.43M","0.28%"
"10/01/2025","56.79","56.90","57.01","56.69","2.41M","-0.12%"
"09/30/2025","56.86","57.01","57.22","56.78","2.22M","-0.21%"
"09/29/2025","56.98","56.80","57.05","56.78","1.05M","0.74%"
"09/26/2025","56.56","56.62","56.89","56.47","1.81M","-0.12%"
"09/25/2025","56.63","56.57","56.65","56.34","1.26M","-0.07%"
"09/24/2025","56.67","56.72","56.76","56.52","882.80K","-0.35%"
"09/23/2025","56.87","56.65","56.88","56.54","1.67M","0.65%"
"09/22/2025","56.50","56.57","56.63","56.41","1.56M","-0.32%"
"09/19/2025","56.68","56.69","56.79","56.54","1.21M","-0.16%"
"09/18/2025","56.77","56.81","56.94","56.61","1.80M","-0.89%"
"09/17/2025","57.28","57.62","57.84","57.15","3.06M","-0.23%"
"09/16/2025","57.41","57.29","57.51","57.26","2.94M","0.14%"
"09/15/2025","57.33","57.32","57.47","57.28","1.31M","0.26%"
"09/12/2025","57.18","57.13","57.22","56.95","1.69M","-0.40%"
"09/11/2025","57.41","57.20","57.53","57.20","1.83M","0.53%"
"09/10/2025","57.11","56.95","57.31","56.81","2.53M","0.51%"
"09/09/2025","56.82","56.94","57.02","56.69","1.89M","-0.46%"
"09/08/2025","57.08","56.81","57.11","56.78","2.83M","1.12%"
"09/05/2025","56.45","56.29","56.50","56.25","2.26M","1.36%"
"09/04/2025","55.69","55.58","55.69","55.33","4.87M","0.65%"
"09/03/2025","55.33","54.94","55.46","54.92","1.83M","0.95%"
"09/02/2025","54.81","54.78","54.90","54.70","2.27M","-1.05%"
"08/29/2025","55.39","55.44","55.49","55.26","4.66M","-0.52%"
"08/28/2025","55.68","55.44","55.71","55.37","2.22M","0.58%"
"08/27/2025","55.36","55.05","55.37","54.99","1.66M","-0.07%"
"08/26/2025","55.40","55.26","55.42","55.10","1.60M","-0.02%"
"08/25/2025","55.41","55.36","55.53","55.31","1.28M","-0.22%"
"08/22/2025","55.53","55.37","55.67","55.31","2.71M","0.73%"
"08/21/2025","55.13","55.23","55.28","54.96","1.49M","-0.47%"
"08/20/2025","55.39","55.25","55.47","55.23","1.15M","0.16%"
"08/19/2025","55.30","55.14","55.33","55.14","1.46M","0.53%"
"08/18/2025","55.01","55.18","55.20","54.89","1.51M","-0.24%"
"08/15/2025","55.14","55.27","55.35","55.05","1.18M","-0.61%"
"08/14/2025","55.48","55.76","55.76","55.42","1.39M","-0.70%"
"08/13/2025","55.87","55.76","55.95","55.74","1.45M","0.78%"
